clip_id,hand_side,n_frames,angle_diff_deg,svd_f0_mm,wq_f0_mm,delta_f0_mm,svd_avg10_mm,wq_avg10_mm,delta_avg10_mm
hocap__subject_6__20231025_111357__seg02,right,115,10.7,37.8,64.0,26.3,21.3,40.9,19.6
hocap__subject_6__20231025_111357__seg03,right,123,57.5,24.6,100.7,76.1,18.2,54.0,35.9
hocap__subject_6__20231025_111357__seg04,right,114,14.3,25.3,60.7,35.5,16.6,31.4,14.9
hocap__subject_6__20231025_111357__seg05,right,521,12.4,35.0,60.8,25.8,18.4,45.7,27.3
hocap__subject_6__20231025_112229__seg00,left,234,5.9,37.0,37.7,0.7,21.1,21.0,-0.0
hocap__subject_6__20231025_112229__seg00,right,234,10.9,36.4,72.1,35.7,20.1,54.9,34.8
hocap__subject_6__20231025_112229__seg01,left,257,9.8,39.3,40.0,0.7,20.8,20.7,-0.1
hocap__subject_6__20231025_112229__seg01,right,257,17.2,38.9,71.5,32.6,21.3,45.6,24.3
hocap__subject_6__20231025_112229__seg02,left,288,9.6,42.4,40.8,-1.6,22.5,22.2,-0.3
hocap__subject_6__20231025_112229__seg02,right,288,7.8,39.3,66.5,27.2,21.9,45.5,23.6
hocap__subject_6__20231025_112229__seg03,left,272,15.7,42.2,43.6,1.4,21.2,21.3,0.1
hocap__subject_6__20231025_112229__seg03,right,272,18.0,38.2,71.2,33.0,20.9,53.3,32.4
hocap__subject_6__20231025_112332__seg00,right,350,19.7,39.9,75.9,36.0,21.6,59.9,38.3
hocap__subject_6__20231025_112332__seg01,right,552,11.5,37.8,73.3,35.5,20.5,54.7,34.1
hocap__subject_6__20231025_112332__seg02,right,548,17.4,39.2,73.3,34.0,21.2,57.2,36.0
hocap__subject_6__20231025_112332__seg03,right,129,23.0,31.1,67.3,36.2,19.0,45.4,26.4
hocap__subject_6__20231025_112332__seg04,right,540,24.1,39.8,78.5,38.7,22.0,58.4,36.3
hocap__subject_6__20231025_112546__seg00,right,271,8.5,35.6,63.5,27.9,20.1,49.1,29.0
hocap__subject_6__20231025_112546__seg01,right,305,14.7,36.8,71.5,34.7,20.0,53.9,34.0
hocap__subject_6__20231025_112546__seg02,right,275,10.2,35.7,66.5,30.8,19.7,50.4,30.8
hocap__subject_7__20231022_190534__seg00,left,421,45.1,28.1,79.1,51.0,21.0,41.5,20.4
hocap__subject_7__20231022_190534__seg01,left,614,41.5,29.8,52.3,22.5,14.3,35.6,21.2
hocap__subject_7__20231022_192832__seg00,left,406,42.4,44.6,89.6,45.0,23.6,39.6,16.0
hocap__subject_7__20231022_193506__seg00,right,227,28.5,28.6,70.0,41.4,19.0,31.7,12.7
hocap__subject_7__20231022_193506__seg01,right,622,64.2,29.5,44.5,15.0,18.9,29.0,10.1
hocap__subject_7__20231022_193506__seg02,right,328,20.4,18.9,39.0,20.1,17.4,24.2,6.8
hocap__subject_7__20231022_193630__seg00,left,383,35.1,25.2,35.9,10.7,16.2,18.0,1.7
hocap__subject_7__20231022_193630__seg00,right,383,16.9,28.2,65.1,36.9,17.9,32.1,14.2
hocap__subject_7__20231022_193630__seg01,left,397,37.3,23.7,34.2,10.5,16.8,18.6,1.9
hocap__subject_7__20231022_193630__seg01,right,397,19.3,22.9,62.4,39.5,16.6,30.3,13.7
hocap__subject_7__20231022_193809__seg00,left,554,47.0,26.2,47.3,21.1,18.0,21.9,3.9
hocap__subject_7__20231022_193809__seg01,left,429,61.1,23.2,41.5,18.3,17.6,21.0,3.4
hocap__subject_7__20231023_162803__seg00,left,279,56.3,20.6,38.1,17.5,14.8,18.0,3.2
hocap__subject_7__20231023_162803__seg01,left,278,60.8,21.9,38.7,16.8,15.9,19.8,3.9
