clip_id,hand_side,n_frames,mean_tip_mm,max_pen_mm,mean_pen_mm,jerk
hocap__subject_6__20231025_112229__seg03,right,272,23.119464391925394,0.0,0.0,0.48850326138788563
hocap__subject_6__20231025_112332__seg00,right,350,13.304506593284925,14.011185296419589,1.6487422662125395,0.6408125032346702
hocap__subject_6__20231025_112332__seg01,right,552,15.980168300163289,24.752311096338985,4.999742318005884,1.153605915858884
hocap__subject_6__20231025_112332__seg02,right,548,29.135892122064973,0.0,0.0,0.8182616679960009
hocap__subject_6__20231025_112332__seg03,right,129,15.806621300555761,28.59507910910887,2.1700619273693245,0.25803272266292687
hocap__subject_6__20231025_112332__seg04,right,540,24.96748076132806,0.0,0.0,0.85213457117085
hocap__subject_6__20231025_112546__seg00,right,271,15.661702345248173,24.175915515732434,5.74628137246927,0.7107699824309187
hocap__subject_6__20231025_112546__seg01,right,305,29.26772758942279,30.758617741572696,14.318827003742207,0.5208983307039747
hocap__subject_6__20231025_112546__seg02,right,275,28.041098051017798,19.667473894748742,1.304893914729158,0.5945932067922223
hocap__subject_7__20231022_190534__seg00,left,421,8.838186508002794,27.633980686297853,17.195737573013115,0.5164568457352552
hocap__subject_7__20231022_190534__seg01,left,614,11.471479266907304,40.9033210904405,19.74922336877712,1.0176700246345347
hocap__subject_7__20231022_192832__seg00,left,406,10.444136680274617,30.76871884494091,14.503281816564446,0.5776258566849566
hocap__subject_7__20231022_193506__seg00,right,227,10.763601881728809,39.81109081194032,8.015221911931164,0.3735354735142663
hocap__subject_7__20231022_193506__seg01,right,622,9.08321500713838,15.569173892958982,1.6008920569502572,0.6207132429506728
hocap__subject_7__20231022_193506__seg02,right,328,9.437512784368023,40.6795884508473,19.114613838491387,0.48657314161702636
hocap__subject_7__20231022_193630__seg00,left,383,10.938566881013037,22.01103299443702,2.203191358881053,0.36142107740754975
hocap__subject_7__20231022_193630__seg00,right,383,10.03477939474424,32.56054902739832,7.5023005610807045,0.44700175168583905
hocap__subject_7__20231022_193630__seg01,left,397,11.034376808621763,30.425730078895473,5.240304295288531,0.5314751128852206
hocap__subject_7__20231022_193630__seg01,right,397,9.651978853274612,35.149509276823096,13.476109761503198,0.5495452578547616
hocap__subject_7__20231022_193809__seg00,left,554,12.252997158787716,47.574554064545616,17.842182806145313,0.6269075570618784
hocap__subject_7__20231022_193809__seg01,left,429,10.956037388575757,32.08358224577791,17.693129496625907,0.4673286103901325
hocap__subject_7__20231023_162803__seg00,left,279,9.495583630088015,32.83219248481994,14.79442872560312,0.3805822891393475
hocap__subject_7__20231023_162803__seg01,left,278,8.685921367444582,16.28997965072272,4.492075882175765,0.4331137726816238
hocap__subject_7__20231023_162803__seg02,left,256,8.413528873940995,28.250939454895658,11.495694926017485,0.30362319083929223
hocap__subject_7__20231023_162803__seg03,left,279,8.0024510365413,8.066687782992235,1.0947914670046937,0.3638442475623427
hocap__subject_7__20231023_163653__seg00,left,271,8.772941217615097,21.019687530449897,6.409654892585014,0.26155287738001703
hocap__subject_7__20231023_163653__seg00,right,271,8.740185460186428,34.591801089064276,15.886914604850752,0.40304665040850995
hocap__subject_7__20231023_163653__seg01,left,356,7.620480820267598,31.475008414712796,10.605124680981822,0.43467464649754967
hocap__subject_7__20231023_163653__seg01,right,356,7.594186943602123,21.244698683917253,8.134624173604061,0.41448571557479497
hocap__subject_8__20231024_180111__seg00,left,293,15.833020035728493,0.0,0.0,0.4695676771791064
hocap__subject_8__20231024_180111__seg00,right,293,15.992872041515252,0.0,0.0,0.41714367969677835
hocap__subject_8__20231024_180111__seg01,left,853,13.764346767763527,38.125921418699726,2.955118334812274,1.2438568830983505
hocap__subject_8__20231024_180111__seg01,right,853,13.720914823853446,26.677328604386478,1.1722676224734323,1.0609506086525293
hocap__subject_8__20231024_180651__seg00,right,246,10.390370022143088,17.08163235829945,1.7523395516576097,0.4455427516843796
hocap__subject_8__20231024_180651__seg01,right,505,10.945972475178777,20.309816355953906,3.5527745166102385,0.6967158175942438
hocap__subject_8__20231024_180651__seg02,right,294,11.158867105006706,24.836094367174425,10.832526050678625,0.34694560693752263
hocap__subject_8__20231024_180733__seg00,left,309,16.848545391347884,0.0,0.0,0.4761841392086593
hocap__subject_8__20231024_180733__seg00,right,309,17.50040612107072,0.0,0.0,0.39790363893100944
hocap__subject_8__20231024_180733__seg01,left,574,21.91309446052873,0.0,0.0,1.100988431451924
hocap__subject_8__20231024_180733__seg01,right,574,16.73156486682627,24.622534032125213,0.5541437062009797,0.5306275168773353
hocap__subject_8__20231024_180733__seg02,left,298,8.649279019073951,0.0,0.0,0.5138267405497671
hocap__subject_8__20231024_180733__seg02,right,298,10.012434748290804,1.2031444834096003,0.0044890798863537985,0.35687057818900303
hocap__subject_8__20231024_181413__seg00,left,279,14.413039181099819,14.040177502118521,0.6444116628437706,0.35416372713835476
