clip_id,hand_side,object,n_frames,pct_any_tip_inside,pct_3plus_tips_inside,max_tip_depth_mm,mean_tip_depth_when_inside_mm,longest_tip_penetration_streak,pct_any_lm_inside,max_lm_depth_mm,mean_n_lm_inside
hocap__subject_5__20231027_113202__seg02,left,g18_2,253,2.371541501976284,0.0,14.324817314182466,9.768438824495847,5,2.371541501976284,14.324817314182466,1.5
hocap__subject_5__20231027_113202__seg02,right,g18_2,253,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_5__20231027_113202__seg03,left,g18_3,230,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_5__20231027_113202__seg03,right,g18_3,230,3.0434782608695654,0.0,14.77549157768053,8.958334070907537,4,3.0434782608695654,14.77549157768053,1.1428571428571428
hocap__subject_5__20231027_113535__seg00,left,g19_1,242,39.66942148760331,26.446280991735538,22.33330286802584,10.055677345414615,96,39.66942148760331,22.33330286802584,3.8020833333333335
hocap__subject_5__20231027_113535__seg00,right,g19_1,242,17.355371900826448,0.0,10.66874991217162,2.4772177687384214,38,39.66942148760331,13.441643795606065,1.8020833333333333
hocap__subject_5__20231027_113535__seg01,left,g19_4,237,37.130801687763714,5.063291139240507,14.359534149746324,6.645962917473882,88,51.0548523206751,14.359534149746324,3.793388429752066
hocap__subject_5__20231027_113535__seg01,right,g19_4,237,33.33333333333333,15.611814345991561,13.253963836545784,6.2842851548119905,73,33.33333333333333,13.253963836545784,5.848101265822785
hocap__subject_5__20231027_113535__seg03,left,g19_3,220,35.0,0.0,17.054866955400865,6.909568396172198,77,35.0,17.054866955400865,1.2597402597402598
hocap__subject_5__20231027_113535__seg03,right,g19_3,220,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_6__20231025_110646__seg00,right,g05_4,220,22.727272727272727,1.3636363636363635,12.53505475580573,5.940723819210201,37,30.0,13.596612942861482,2.106060606060606
hocap__subject_6__20231025_110646__seg01,right,g05_1,316,57.27848101265823,7.9113924050632916,24.899344498550757,14.030245626159275,172,57.27848101265823,24.899344498550757,3.1988950276243093
hocap__subject_6__20231025_110646__seg02,right,g05_2,298,49.664429530201346,0.0,12.259623312126292,6.62137508608418,148,49.664429530201346,12.259623312126292,1.8783783783783783
hocap__subject_6__20231025_110646__seg03,right,g05_3,238,75.63025210084034,46.21848739495798,15.605592516049384,4.736520035597809,118,75.63025210084034,15.605592516049384,2.5166666666666666
